"education","language","fairprice","enjoyment","gender","problems","age","asses","workerid","comments","speaker_cond"
2,"English","1.50",2,"Female","No.","43","Yes",305,"You had to think and react quickly.","allQUD"
2,"english","yes",1,"Female","no","50","Yes",306,"","allQUD"
2,"english","yes",2,"Female","none","38","Confused",307,"","allQUD"
1,"English","1.50",2,"Male","No","37","Yes",308,"","allQUD"
3,"English","Yes",2,"Female","No","24","Yes",309,"","allQUD"
3,"English","1.50",2,"Male","No.","37","Yes",310,"I was thoroughly engaged in this hit, it kept me engaged all the way through. Thanks.","allQUD"
3,"English  ","good work ",1,"Male","nothing ","30","No",311,"good","allQUD"
2,"English","1.50",2,"Male","Nothing","30","",312,"Good survey.","allQUD"
1,"English","1.50",2,"Female","No.","28","Yes",313,"","allQUD"
2,"English","1.50",1,"Male","N/A","25","Yes",314,"","allQUD"
3,"english","20",2,"Male","no i have no problems on this experiment","46","Yes",315,"","allQUD"
3,"English","2.00",1,"Female","none","54","Yes",316,"none","allQUD"
3,"ENGLISH","YES",2,"Female","no","32","Yes",317,"NONE","allQUD"
3,"english","1.50",2,"Female","no","32","Yes",318,"","allQUD"
2,"English","3",1,"Female","No","26","Yes",319,"","allQUD"
3,"English","1.50",2,"Male","","28","Yes",320,"I enjoyed the keyboard controls and the progress bar. Really helps!","allQUD"
3,"English","2.00",1,"Male","none","25","Yes",321,"","allQUD"
3,"English","2.50",1,"Female","no","31","Yes",322,"","allQUD"
3,"English","2.50",1,"Female","no","29","No",323,"","allQUD"
1,"english","1.50",2,"Male","none","38","Yes",324,"I found it to be pretty interesting.","allQUD"
3,"english","1.75",1,"Male","none","29","Yes",325,"none","allQUD"
2,"English","1.50",2,"Female","no","28","Yes",326,"thank you!","allQUD"
3,"English","like",2,"Male","no","30","No",327,"like","allQUD"
3,"English","$1.50",1,"Female","no","31","Yes",328,"","allQUD"
3,"english","1.5",1,"Male","no","42","Yes",329,"no comments","allQUD"
3,"English","1.50 is great.",2,"Male","Nope it all worked fine!","29","Yes",330,"It all worked fine, thank you!","allQUD"
1,"English","2.00",2,"Male","no","37","Yes",331,"","allQUD"
2,"English","1.50",2,"Female","no","27","Yes",332,"","allQUD"
1,"English","$2.00",2,"Female","","50","Yes",333,"I appreciate the progress bar. My only difficulty was counting larger numbers of gumballs in under 4 seconds to make sure the number matched.","allQUD"
4,"English","2.50",2,"Female","the last one started with all the gumballs in the bottom section of the gumball machine","31","Yes",334,"","allQUD"
1,"English","1.50",2,"Female","No problems or bugs with the experiment.","45","Confused",335,"I was confused with how to answer when all of the gumballs were in the bottom and she said, ""You got some of the gumballs."" I felt like I should say yes because I did get gumballs, but then I felt I should say no because I got all of them, not just some. So, sorry, I wasn't sure how to answer that one. Good luck with your research. ","allQUD"
2,"English","1.5",2,"Male","NO","38","Yes",336,"ty","allQUD"
3,"English","1.50",2,"Female","no problems","39","Yes",337,"About a third of the way through I realized I wasn't relating the worker how many were left. If the machine said some gumballs and gave me all I would say yes, because I did get some. I wonder if I should've said no to indicate there weren't any left? But that wouldn't make sense to the worker either because he would still think the machine was filled. Well, I think I did it right, but if I had more than four seconds to think about each one I may have answered differently.","allQUD"
3,"English","1.50",1,"Male","No","33","Yes",338,"none","allQUD"
3,"English","2.50",2,"Male","I felt like towards the end of the experiment there was a trial where the decision was made for me. I did not make a decision and the experiment continued","25","Yes",339,"This experiment was very interesting, I enjoyed this experiment.","allQUD"
2,"English","2.50",1,"Male","no","47","Yes",340,"none","allQUD"
2,"English","1.50",2,"Female","no","37","Yes",341,"","allQUD"
1,"english","1.5",2,"Female","no","41","Yes",342,"","allQUD"
3,"english","1.5",2,"Male","no problems","47","Yes",343,"","allQUD"
3,"English","2",1,"Male","Nothing.","26","No",344,"No comments.","allQUD"
3,"english","1.50",2,"Female","no nothing","45","Yes",345,"interesting thank you","allQUD"
2,"English","Yes",2,"Female","No","35","Yes",346,"","allQUD"
3,"English","$2",1,"Male","","54","Yes",347,"","allQUD"
2,"chinese","1.50",1,"Female","no","43","Yes",348,"","allQUD"
3,"english","1.00",2,"Female","no","47","Yes",349,"","allQUD"
3,"ENGLISH","YES",1,"Male","NO","61","Yes",350,"","allQUD"
3,"English","yes",2,"Female","","35","Yes",351,"","allQUD"
3,"english","1.50",2,"Female","no","48","Yes",352,"This experiment very interesting","allQUD"
3,"English","3",2,"Female","No","40","Yes",353,"Nice game","allQUD"
3,"English","1.50",2,"Female","None.","44","Yes",354,"","allQUD"
3,"english","Yes",1,"Male","Sometimes the number of gumballs changed in the top part, but none appeared in the bottom.","56","Yes",355,"","allQUD"
3,"English","2",2,"Male","Voice does not aligned with the number of gumballs shown in the picture","53","Yes",356,"None","allQUD"
2,"English","Yes.",2,"Male","No.","37","Yes",357,"None.","allQUD"
3,"English","2",1,"Male","no","28","Yes",358,"","allQUD"
2,"English","$1.50",2,"Female","Wasn't sure whether to choose yes or no when it said ""you got some of the gumballs"" and it was all of them","30","Confused",359,"Interesting thought experiment!","allQUD"
2,"english","1.50",1,"Female","no","54","Yes",360,"","allQUD"
4,"English","1.50",1,"Other","no","40","Yes",361,"","allQUD"
2,"english","2.00",2,"Male","","60","Yes",362,"","allQUD"
2,"english","1.50",2,"Female","no","21","Yes",363,"","allQUD"
2,"English","Yes",2,"Female","No","50","Yes",364,"I made a few mistakes trying to do quickly. Interesting HIT Thank you","allQUD"
3,"English","$2.00",1,"Male","no","45","Yes",365,"","allQUD"
4,"English","2",2,"Male","no","32","No",366,"good","allQUD"
2,"ENGLISH","300",0,"Male","NO","30","Yes",367,"NICE","allQUD"
3,"English","Yes",2,"Male","","24","Yes",368,"","allQUD"
3,"English","1.50",1,"Male","You could push f and j early enough to skip the audio","35","Yes",369,"I could push the button early enough that I didn't have to listen to the audio and wouldn't get confused by it","allQUD"
2,"ENGLISH","1.50",2,"Male","NO","49","Yes",370,"","allQUD"
2,"english","1.50",2,"Female","Yes it would not even finish a sentence when it would make the time out sound and show the press space bar. Especially at the end. It started in the middle of the experiment and then progressively got worse. There was no time to even hit J or F.","32","Yes",371,"","allQUD"
3,"English ","good",2,"Male","no","30","Yes",372,"good ","allQUD"
4,"English","3.00",2,"Female","I was confused on which amount was applicable for some of the gumballs. I did get some when I got all, but I was unsure if for some to count some needed to be left behind. ","30","Yes",373,"I needed clearer meaning for some of the gumballs. When they all fell did that count for some of the gumballs, or was some only for when some were left behind. ","allQUD"
3,"English","1.50",1,"Female","No","Female","Yes",374,"","allQUD"
3,"English","1.50",2,"Female","There was one of the statements where I could only hear the sentence and not see the gumballs, so I did not press an answer.","27","Yes",375,"","allQUD"
1,"English","$2.00",1,"Male","None.","32","Yes",376,"","allQUD"
3,"English","1.50",1,"Female","I did not have any problems or bugs with the experiment. ","31","Yes",377,"Thank you for the work. Definitely an interesting experiment. ","allQUD"
2,"Spanish/English","1.50",2,"Female","No","26","Yes",378,"","allQUD"
1,"English","1.50",2,"Female","no","58","Yes",379,"thank you","allQUD"
3,"English","Good",2,"Male","Nothing","29","Yes",380,"Good","allQUD"
4,"English","2",2,"Male","none","37","Yes",381,"Enjoyed it, thanks!","allQUD"
2,"English","1.50",2,"Male","No","44","Yes",382,"It was kind of fun. ","allQUD"
2,"English","1.50",2,"Male","no","38","Yes",383,"","allQUD"
2,"English","2.00",1,"Female","No.","26","Yes",384,"","allQUD"
2,"English","2.00",1,"Female","","31","Confused",385,"","allQUD"
3,"english","good",1,"Female","nothing","38","Yes",386,"nice","allQUD"
4,"English","1.50",1,"Male","No","38","Yes",387,"The instructions were kind of counter intuitive to my own thinking as far how to report gumball numbers, so I found it confusing at first. This is reflected by my actions in the game, where halfway through I began to say that ""I had some of the gumballs"" is wrong when I have all of them, because the cashier guy needs to be alerted I actually have all of them and he needs to refill the machine. This kind of thinking plagued me throughout the experiment so my actions ended up being inconsistent. A couple of times I just slipped and hit the wrong button, but most of the time I was just confused in the moment about how I should report numbers that aren't exactly right. ","allQUD"
3,"English","2000",1,"Male","No","35","Yes",388,"Very interesting this survey experiment.","allQUD"
3,"English","$2.00",2,"Male","None","40","Yes",389,"","allQUD"
3,"English","$2.00 would equate to $8 an hour  which is slightly above federal minimum wage.",2,"Female","No issues","22","Yes",390,"","allQUD"
2,"English","1.50",2,"Male","Nothing","30","Yes",391,"Good survey.","allQUD"
4,"USA","good",2,"Male","3","32","Yes",392,"good","allQUD"
1,"English","I think the price was fair.",2,"Male","No","23","Yes",393,"","allQUD"
2,"English","150",2,"Female","no","67","Yes",394,"","allQUD"
3,"English","1.50",2,"Female","I didn't have any issues.","58","Yes",395,"It was interesting.","allQUD"
3,"english","yes",2,"Male","no","29","Yes",396,"good","allQUD"
3,"English","2",1,"Male","","30","Yes",397,"","allQUD"
3,"English","$2",1,"Male","Nothing","29","Yes",398,"No comments","allQUD"
2,"English","1.50",2,"Female","No","44","Yes",399,"I enjoyed doing this.  Thank you!","allQUD"
1,"english","yes",2,"Female","no","31","Yes",400,"","anyQUD"
1,"english","3",1,"Male","no","25","Yes",401,"","anyQUD"
2,"english","1.50",1,"Male","no","30","Yes",402,"none thanks","anyQUD"
4,"english","1.5",2,"Male","no","67","Yes",403,"","anyQUD"
3,"ENGLISH","2",2,"Male","no","39","Yes",404,"very interesting","anyQUD"
2,"English","1.50",2,"Male","no","43","Yes",405,"thank you","anyQUD"
0,"English","1.50 or higher",2,"Female","Just hard to count anything over 8 before time runs out, especially the 11","38","Yes",406,"","anyQUD"
2,"English","2.00",1,"Female","no","26","Yes",407,"none","anyQUD"
3,"English","1.50",2,"Female","","31","Yes",408,"I was a bit torn on how to answer statements that were technically incorrect but still provided the worker with enough information to know the machine was working (i.e., ""You got 5 gumballs"" when it gave 2) It wasn't explicitly stated that our goal was to prevent him from getting fired by doing that, so I wasn't sure.","anyQUD"
3,"English","yes",2,"Male","One of the questions was skipped.","28","Yes",409,"","anyQUD"
3,"english","1",2,"Male","no","34","Yes",410,"","anyQUD"
3,"English","nothing",2,"Male","no","25","Yes",411,"very interesting survey","anyQUD"
2,"english","",2,"Female","No","33","Yes",412,"","anyQUD"
1,"English","$1",1,"Male","none","35","Yes",413,"none","anyQUD"
3,"english","3.00",1,"Male","no","37","Yes",414,"","anyQUD"
3,"english","2",1,"Female","no","34","Yes",415,"it was fun and enjoyable. didnt take longer then stated","anyQUD"
3,"English","1.50",1,"Male","nothing","25","Yes",416,"interesting","anyQUD"
2,"English","I don't know.",1,"Male","I would put the message about pushing the spacebar lower on the screen to make it visible. Pushing the spacebar makes the screen scroll down and hides that message.","44","Yes",417,"","anyQUD"
2,"English","1.00",1,"Female","No","48","Yes",418,"The difficulty was in trying to either count the number of gumballs within the timeframe or trying to decide if having received a greater amount than stated was an agree or disagree, i.e. I decided that I did agree that I received at least two although in total I received more.","anyQUD"
3,"english","2",2,"Male","no","31","Yes",419,"good","anyQUD"
3,"english","fair",2,"Male","no","37","Yes",420,"Fun games.","anyQUD"
2,"English","2.00",2,"Male","Yes there was a question in the middle of the task & I'm not sure it went through correctly. ","31","Yes",421,"","anyQUD"
1,"ENGLISH","1.50",2,"Female","no","64","Yes",422,"","anyQUD"
3,"English","1.50",2,"Male","No issues","52","Yes",423,"","anyQUD"
4,"English","1.50",2,"Male","no","29","Yes",424,"","anyQUD"
2,"English","full price",1,"Male","no problem","24","Yes",425,"It was interesting","anyQUD"
4,"English","well",2,"Male","no","30","Yes",426,"good","anyQUD"
3,"English","1.50",2,"Male","No.","41","Yes",427,"None.","anyQUD"
1,"English","$2.50",1,"Male","no","36","Yes",428,"Thanks.","anyQUD"
1,"English","yes",2,"Female","NO","61","Confused",429,"","anyQUD"
3,"English","2",2,"Male","There were a couple of instances where the audio played and stated the amount of gumballs and then went straight to the next instance without allowing any time to press F or J.","25","Yes",430,"The study was fun and interesting, thank you.","anyQUD"
4,"English","1.50",1,"Male","No.","30","Yes",431,"Very good.","anyQUD"
2,"english","1.50",2,"Male","Towards the end it started proceeding without finishing the sentence","32","Yes",432,"I have no comments","anyQUD"
3,"English","1.50",2,"Male","No problems","28","Yes",433,"This was a fun experiment.","anyQUD"
3,"English","2.50",2,"Female","No problems","45","Yes",434,"","anyQUD"
3,"English",".50",2,"Female","No bugs","25","Confused",435,"This was fun to complete even though I was confused at first.","anyQUD"
3,"English","1.50",2,"Male","No.","45","Yes",436,"Thank you.I enjoyed participating in this study!","anyQUD"
3,"english","1.50",2,"Male","none","38","Yes",437,"no comments","anyQUD"
4,"English","2.00",2,"Male","no","29","Yes",438,"counting accurately past 8 was kind of difficult to do in 4 seconds","anyQUD"
2,"English","1.50",2,"Male","No","33","Yes",439,"Great hit.","anyQUD"
-1,"","",-1,"","",NA,"Yes",440,"","anyQUD"
2,"English","3",2,"Male","","32","Yes",441,"","anyQUD"
3,"English","1.75",1,"Female","","26","Yes",442,"","anyQUD"
2,"english","1.5",2,"Female","no","32","Yes",443,"","anyQUD"
2,"English","1.50",1,"Female","nothing","65","Yes",444,"nice & interested","anyQUD"
1,"english","1.50",2,"Female","no","56","Yes",445,"","anyQUD"
4,"english","150",2,"Male","no","37","Yes",446,"no","anyQUD"
2,"English","1.50",1,"Male","No","21","Yes",447,"","anyQUD"
3,"English","Yes",1,"Female","None","36","Yes",448,"","anyQUD"
1,"english","yes",2,"Female","no","31","No",449,"","anyQUD"
3,"English","1.50",2,"Male","","24","Yes",450,"It was a bit hard to hear sometimes despite my volume being turned up ","anyQUD"
1,"english","1.75",1,"Female","no","31","Yes",451,"","anyQUD"
1,"english","1.50",2,"Female","no","25","Yes",452,"this was more fun than the average mturk hit","anyQUD"
2,"english","1.75",2,"Male","No none","38","No",453,"","anyQUD"
3,"English","2",2,"Male","None","29","Yes",454,"Interesting","anyQUD"
3,"English","ok",2,"Male","nothing","30","Yes",455,"Good","anyQUD"
3,"English","1.50",2,"Male","no issues","30","Yes",456,"","anyQUD"
3,"English","very interesting",1,"Female","No","39","Yes",457,"very interesting experiement.","anyQUD"
1,"english","1.50",2,"Male","On two of the tasks there was a windows xp error sound and it skipped to the next task.","33","Yes",458,"fun","anyQUD"
1,"english","yes",1,"Male","no","24","Yes",459,"","anyQUD"
3,"English","yes",1,"Male","no","40","Yes",460,"no comments","anyQUD"
3,"english","1.50",2,"Female","no","55","Yes",461,"is this the exact same hit posted weeks ago? sorry if it is.","anyQUD"
3,"Arabic","2$",2,"Female","no","28","Yes",462,"Thank you","anyQUD"
3,"English","2.00",1,"Female","No problems","30","Yes",463,"","anyQUD"
2,"ENGLISH","400",1,"Male","NO","30","Yes",464,"GOOD","anyQUD"
3,"english","yes",2,"Male","no","34","Yes",465,"","anyQUD"
3,"english","yes",1,"Male","not that I know of.","54","Yes",466,"","anyQUD"
3,"ENGLISH","2.00",2,"Female","nO","32","Yes",467,"Challenging. Thank You","anyQUD"
4,"English","1.00",2,"Male","No","51","Yes",468,"","anyQUD"
3,"english","200",2,"Male","no","35","Yes",469,"good","anyQUD"
3,"English","Yes",1,"Male","No","41","Yes",470,"","anyQUD"
2,"English","2.00",1,"Female","none","28","Yes",471,"","anyQUD"
3,"english","1.50",2,"Female","no","29","Yes",472,"no","anyQUD"
2,"english","1.5",2,"Female","no","40","Yes",473,"fun","anyQUD"
2,"english","yes",1,"Male","At one point the windows error sound occurred and it jumped to the next question","26","Yes",474,"average hit","anyQUD"
3,"English","2",2,"Female","no","37","Yes",475,"","anyQUD"
4,"english","4",1,"Male","is good","33","Yes",476,"is good","anyQUD"
3,"english","1.50",2,"Male","none","45","Yes",477,"","anyQUD"
1,"english","1.50",2,"Female","","24","Yes",478,"","anyQUD"
3,"English","3",1,"Female","no","32","Yes",479,"no","anyQUD"
3,"English","yes",2,"Female","no","69","Yes",480,"none","anyQUD"
4,"English","1.50",2,"Male","Not at all","36","Yes",481,"","anyQUD"
2,"English","1.50",2,"Male","no problems","46","Yes",482,"no comments but an enjoyable HIT that ran smooth","anyQUD"
1,"English","",2,"Female","","38","",483,"","anyQUD"
3,"English","1.50",1,"Male","","35","Yes",484,"","anyQUD"
3,"English","55",1,"Male","na","30","Yes",485,"good","anyQUD"
3,"english","2",1,"Female","no","33","Yes",486,"","anyQUD"
4,"english","yes",2,"Female","no","58","Yes",487,"","anyQUD"
4,"English","1.50",2,"Female","none","39","Yes",488,"Thank you very much!","anyQUD"
2,"English","2.00",2,"Female","None","42","Yes",489,"","anyQUD"
4,"English","1.50",1,"Female","No.","35","Yes",490,"Interesting.","anyQUD"
3,"English","2",2,"Male","nothing.","30","Yes",491,"good","anyQUD"
2,"English","yes",1,"Male","Three times before I heard a statement I heard an error sound and  was moved past the round before responding, like it thought I took too long to respond. But nothing had happened to respond to.","33","No",492,"","anyQUD"
3,"English","1.5",2,"Male","No problems. ","27","Yes",493,"No comments, thank you.","anyQUD"
2,"English","yes",2,"Male","No","60","Yes",494,"Not enough time to count 11 gumballs","anyQUD"
2,"English","yes",1,"Male","no","22","Yes",495,"Ty","anyQUD"
3,"English","2.00",1,"Female","No","65","Yes",496,"At first I was a little confused but it became clear during the course of the game.","anyQUD"
3,"English","2.00",1,"Female","No","38","Yes",497,"","anyQUD"
2,"English","1.50",1,"Male","Sometimes it advanced without me hitting anything","33","Yes",498,"","anyQUD"
3,"English","$2",1,"Male","Once, the sound did not function","43","Yes",499,"Thanks","anyQUD"
2,"English","1.50",1,"Male","","59","Yes",500,"","anyQUD"
3,"English","yes",2,"Female","I tried to submit and it didn't work the first time so I re-did the HIT. There were 2 times the picture and audio didn't load, just an error sound","28","Yes",501,"","anyQUD"
3,"english","$2",1,"Female","no","26","Yes",502,"","anyQUD"
2,"english","2.00",2,"Male","no","29","Yes",503,"","anyQUD"
4,"English","1.50",1,"Female","no issues","41","Yes",504,"no issues","anyQUD"
2,"English","",1,"Male","At a couple points it played the sound indicating that I didn't make a choice in time before it was suppose to.","27","Yes",505,"","anyQUD"
2,"English ","3",1,"Male","no","28","Yes",506,"","anyQUD"
2,"English","1.50 is fair",1,"Male","none that I noticed","25","Yes",507,"","anyQUD"
3,"English","1.50",1,"Male","No problems arose","30","Yes",508,"No comments","anyQUD"
2,"English","1.50",2,"Male","No.","70","Yes",509,"It was fun. ","anyQUD"
1,"english","maybe",1,"Female","no","51","Yes",510,"","anyQUD"
4,"English","2.0",2,"Male","np","42","No",511,"The survey was quite interesting ","anyQUD"
4,"English","Yes",2,"Male","No","42","Yes",512,"This was fun, thank you.","anyQUD"
3,"english","1.50",2,"Female","not in experiment but in the survey there are missing ""y""s and ""x""s are looking like""","42","Yes",513,"that was fun","anyQUD"
3,"English","1.50",2,"Female","no","55","Yes",514,"I did not initially think ""some"" could mean all but later did think that. I am unsure of what it should have actually been.","anyQUD"
2,"English","The price itself was fair",2,"Female","Sometimes the game would error out and proceed immediately","31","Yes",515,"None","anyQUD"
4,"English","1.50",2,"Male","Some gumball voice only appear after the time limit and some didn't even have voice.","26","Yes",516,"","anyQUD"
3,"english","yes",2,"Female","none","27","Yes",517,"","anyQUD"
3,"English","1.50",2,"Male","No.","49","Yes",518,"N/A","anyQUD"
2,"english","yes",2,"Male","no","40","Yes",519,"launch the hit in its own window so it is easier to see the screen instead of being in the turk window. Also ""some"" is a subjective term","anyQUD"
3,"English","2.00",1,"Male","None","61","Yes",520,"None","anyQUD"
3,"english","2.50",1,"Female","yes, sometimes it jumped to the Continue screen on its own, even if i hadnt answered","30","Yes",521,"","anyQUD"
2,"English","1.50",2,"Female","I did hear a windows sound around the 2/3rd mark in the experiment but it may have been due to me pressing the wrong key and I do not believe it was from my computer as I currently have a different sound for my error windows notification.","26","Yes",522,"","anyQUD"
2,"englsh","3.00",1,"Female","no","29","Yes",523,"","anyQUD"
1,"english","1.50",2,"Female","no","49","Yes",524,"","anyQUD"
2,"Spanish","1.50",2,"Male","No","32","Yes",525,"kept me entertained and focused","anyQUD"
3,"english","nope",2,"Female","no problems","32","Yes",526,"nice survey really very interesting this survey i love this","anyQUD"
2,"English","1.50",1,"Male","","39","Yes",527,"no","anyQUD"
2,"english","5",2,"Female","","58","Yes",528,"thank you","anyQUD"
3,"English","2.00",1,"Female","no","40","Yes",529,"","anyQUD"
2,"English","1.50",2,"Female","NO","37","Yes",530,"NONE","anyQUD"
2,"English","1.5",1,"Male","none","52","Yes",531,"at one point you asked an attention check about what will get an employee fired. what confused me a little was at the start you also mentioned if the machines are jammed he will be fired but also mentioned the machines being empty will cause me to be fired","anyQUD"
2,"english","2.00",2,"Female","no","39","Yes",532,"fun survey","anyQUD"
4,"English","55",2,"Male","na","30","Yes",533,"good","anyQUD"
3,"English","2",1,"Female","I wasn't certain about the agree/disagree at first as it related to the gumballs dropping","38","Confused",534,"","anyQUD"
3,"english","1.50",1,"Female","I mis pressed a few times and the voice wasn't all that clear","32","Yes",535,"","anyQUD"
3,"English",".50",1,"Female","no","49","",536,"","anyQUD"
3,"english","good",2,"Male","nothing","23","Yes",537,"good","anyQUD"
3,"English","2.50",1,"Female","No","35","Yes",538,"","anyQUD"
3,"English","2.00",1,"Male","no","36","Yes",539,"","anyQUD"
2,"english","yes",2,"Male","","32","Yes",540,"","anyQUD"
2,"English","The given price of 1.50 seems fair enough for the work involved.",1,"Male","None that I was aware of","52","Yes",541,"","anyQUD"
3,"English","2.00",2,"Male","No, it worked fine for me","32","Yes",542,"Interesting to take!","anyQUD"
2,"English","Yes",2,"Female","No, just me hitting the wrong finger on my 9own","41","Yes",543,"Maybe make the voice change pitch a little bit.  It sounded a little monotone after a while.","anyQUD"
2,"English","2.00",1,"Female","no","39","Yes",544,"I messed up a few times because I confused which side meant what.","anyQUD"
3,"English","1.50",2,"Female","No.","33","Yes",545,"","anyQUD"
3,"English","1.50",2,"Male","N/A","27","Yes",546,"","anyQUD"
4,"United States","",1,"Female","","47","Yes",547,"","anyQUD"
2,"english","yes",2,"Female","In the beginning, I got confused, but after half the experiment, I got the hang of it.","68","Confused",548,"Thanks..This was different!","anyQUD"
3,"English","2",2,"Female","No","34","Yes",549,"","anyQUD"
3,"English","1.50",2,"Male","","29","Yes",550,"I had one part where I pressed the wrong key once, but otherwise it was easy and enjoyable. ","anyQUD"
3,"English","very great",2,"Female","No problems in the experiment","39","Yes",551,"This experiment is very interesting","anyQUD"
3,"English","1.50",1,"Male","","50","",552,"Interesting! Have a nice day!","anyQUD"
3,"english","1.50",2,"Female","no","29","Yes",553,"","anyQUD"
3,"English","3.00",1,"Female","No","33","Yes",554,"","anyQUD"
3,"english","1.50",2,"Female","no","63","Yes",555,"","anyQUD"
2,"English","1.50",1,"Female","No problems!","30","No",556,"Just thought you should know, my dog HATED either the sound of the gumball machine or the voice. She laid on the rug and growled the entire HIT. :)","anyQUD"
3,"english","2.00",1,"Male","","32","Yes",557,"","anyQUD"
3,"English","1.50",2,"Female","no","35","Yes",558,"Very interesting.","anyQUD"
3,"English","2.00",1,"Female","no","47","Yes",559,"hard to count how many gumballs in 4 seconds","anyQUD"
3,"English","2 dollars",2,"Male","No","23","Yes",560,"","anyQUD"
2,"English","Yes",2,"Male","There was none","27","Yes",561,"","anyQUD"
1,"English","2.00",2,"Female","n/a","27","Yes",562,"n/a","anyQUD"
2,"english","2.00",1,"Female","no","35","Yes",563,"Mturk seems to be having issues with submitting hits. This hit may not submit and give me a code. ","anyQUD"
2,"English","$2",1,"Male","no","32","Yes",564,"","anyQUD"
3,"english","yes",1,"Male","none","35","Yes",565,"","anyQUD"
3,"English","$1.50",2,"Male","No.","37","Yes",566,"","anyQUD"
2,"english","1.50",2,"Female","none","33","Yes",567,"it was a fun experiment and it kept me entertained the entire time.","anyQUD"
3,"ENGLISH","1.50",1,"Male","nothing","24","Yes",568,"THANK YOU","anyQUD"
4,"English","1.5",2,"Male","no problems or bugs","35","No",569,"I enjoyed working on this hit, not quite sure what the experiment will be investigating, but I do look forward to hopefully finding out :)","anyQUD"
3,"English","1.5",1,"Female","no","57","Yes",570,"","anyQUD"
3,"english","nothing",2,"Male","nothing","34","Yes",571,"good","anyQUD"
3,"English","1.50",2,"Male","nothing any problems","35","Yes",572,"overall very nice survey","anyQUD"
2,"English","1.50",1,"Female","No","27","Yes",573,"","anyQUD"
2,"english","1.00",2,"Female","nope","40","Yes",574,"all was great! ","anyQUD"
2,"English","1-1.50 is fair.",2,"Male","none","27","Yes",575,"","anyQUD"
4,"English","good",1,"Male","nothing","30","Yes",576,"Nice survey","anyQUD"
3,"English","2",1,"Male","No","43","Yes",577,"","anyQUD"
0,"english","1.50",1,"Male","","54","Yes",578,"","anyQUD"
3,"English","Yes",2,"Male","No","30","Yes",579,"","anyQUD"
3,"English","1.50",2,"Male","none","56","Yes",580,"","anyQUD"
3,"english","5",1,"Male","nothing","30","Yes",581,"good survey","anyQUD"
2,"English","1.50",2,"Female","no","50","Yes",582,"I could always tell when I screwed up an answer. The brain knew when I was wrong but my fingers did not.","anyQUD"
3,"English","80",2,"Male","No","35","Yes",583,"Nice survey.","anyQUD"
3,"English","yes",2,"Female","no","26","Yes",584,"It was interesting.  Haven't seen one like this before.","anyQUD"
2,"English","yes ",2,"Female","","28","Yes",585,"","anyQUD"
3,"english","75",1,"Male","nothing","30","Yes",586,"good","anyQUD"
3,"English","$2.00",2,"Female","I missed the connection between the visual and the directions until partway through the trial. I apologize but I was concentrating so hard on the word directions and the audio that I didn't catch the relationship between the picture visual and what was being said.","41","Confused",587,"This was a very fun HIT but I am sorry that I messed up. I missed the connection between the visual and the directions until partway through the trial. I apologize but I was concentrating so hard on the word directions and the audio that I didn't catch the relationship between the picture visual and what was being said. I very much apologize.","anyQUD"
1,"english","1.50",2,"Female","no","46","",588,"","anyQUD"
1,"english","yes",1,"Male","","24","Yes",589,"","anyQUD"
4,"english","yes",2,"Male","","41","Yes",590,"","anyQUD"
1,"English","1.50",2,"Female","no","36","Yes",591,"","anyQUD"
3,"English","1.50",2,"Male","No problems!","27","Yes",592,"Cool, interesting HIT! Thanks, :)","anyQUD"
2,"english","yes",1,"Female","","34","Yes",593,"","anyQUD"
3,"Russain","1.50",2,"Female","No","29","Yes",594,"Thank you it was fun.","anyQUD"
3,"English","1.50",1,"Male","No.","49","Yes",595,"No comments at this time.","anyQUD"
2,"English","1.50",2,"Female","no","35","Yes",596,"","anyQUD"
3,"English","yes",2,"Male","Yes I read the instructions but they were not clear on how to answer the questions","46","Confused",597,"I did not know how to answer when I received more gumballs than stated as i if is says I got 2 and got more than 2 then I still got two , and also it timed out a few times as I was counting when it was a lot of gumballs.","anyQUD"
2,"English","2.00",1,"Male","No","23","Yes",598,"","anyQUD"
3,"english","yes",1,"Female","I did not have any problems","52","Yes",599,"I thought it was fun. ","anyQUD"
3,"english","3",1,"Male","no","30","Yes",600,"good survey","anyQUD"
2,"English","1.50",2,"Male","No","42","Yes",601,"I gave it a pass on ""some"" because more than one gumball is ""some"" in my opinion.","anyQUD"
4,"English","1.50",2,"Male","No","30","Yes",602,"It is a good study","anyQUD"
3,"english","2",2,"Male","no","31","Yes",603,"good","anyQUD"
2,"English","2.00",2,"Female","","43","Yes",604,"","anyQUD"
3,"english","2.00",1,"Male","no","35","Yes",605,"Thanks","anyQUD"
2,"English","1.50",2,"Female","n/a","31","Yes",606,"This experiment was quite fun!","anyQUD"
3,"english","yes",1,"Female","no","34","Yes",607,"","anyQUD"
3,"American","50",1,"Female","no","30","Yes",608,"nice","anyQUD"
3,"English","Perhaps a little low.",1,"Male","I did not know for sure what to do when it said you got ""some of the gumballs"".","46","Yes",609,"","anyQUD"
2,"english","200",1,"Male","no","55","Confused",610,"Bad explanation, maybe got it half way through. ","anyQUD"
4,"English","yes",2,"Male","No","36","Yes",611,"","anyQUD"
3,"english","1.5",1,"Male","","28","Confused",612,"","anyQUD"
2,"English","yes",1,"Female","no","48","Yes",613,"","anyQUD"
